Word,LeftPattern,RightPattern,Action,Position,Direction
ăn,[],[chum],"","[,mouth]","[,]"
bạn,[],[tro],"","[,chest]","[,up]"
cảm ơn,[],"[chum,xoe]","","[,mouth]","[,]"
đi,[],[trogiua],"","[,rightwaist]","[,back]"
học,[],[chum],"","[,forehead]","[,]"
hôm nay,[xoe],[xoe],"","[leftwaist,rightwaist]","[up,up]"
hôm qua,[],[xoe],"","[,rightface]","[,front]"
không,[],[xoe],"","[,rightface]","[,front]"
tôi,[],[tro],"","[,chest]","[,down]"
xin chào,[],[xoe],"","[,rightface]","[,front]"
yêu,[],[y],"","[,chest]","[,]"
buồn,[],[a],"","[,chest]","[,]"
